year,publisher,type,platform,model,method,title,doi,url,pdf,ignore,silicon,pubkey,pubname,reserved
2022,IEEE,article,__no_data__,['BERT'],__no_data__,A 28nm 27.5TOPS/W Approximate-Computing-Based Transformer Processor with Asymptotic Sparsity Speculating and Out-of-Order Computing,https://doi.org/10.1109/ISSCC42614.2022.9731686,https://doi.org/10.1109/ISSCC42614.2022.9731686,False,False,True,,IEEE International Solid- State Circuits Conference (ISSCC),DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,A 40nm 5.6TOPS/W 239GOPS/mm2 Self-Attention Processor with Sign Random Projection-based Approximation,https://doi.org/10.1109/ESSCIRC55480.2022.9911343,https://doi.org/10.1109/ESSCIRC55480.2022.9911343,False,False,True,,ESSCIRC 2022- IEEE 48th European Solid State Circuits Conference (ESSCIRC),DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,A Dual-Mode Similarity Search Accelerator based on Embedding Compression for Online Cross-Modal Image-Text Retrieval,https://doi.org/10.1109/FCCM53951.2022.9786159,https://doi.org/10.1109/FCCM53951.2022.9786159,False,False,True,,International Symposium on Field-Programmable Custom Computing Machines (FCCM),DEADBEEF
2022,ACM,article,__no_data__,['BERT'],__no_data__,A Fast and Flexible FPGA-based Accelerator for Natural Language Processing Neural Networks,https://doi.org/10.1145/3564606,https://doi.org/10.1145/3564606,False,False,True,,ACM Transactions on Architecture and Code Optimization,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,A Fast Post-Training Pruning Framework for Transformers,https://doi.org/10.48550/arXiv.2204.09656,https://doi.org/10.48550/arXiv.2204.09656,False,check,True,,Computer Science > Computation and Language,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,A Framework for Accelerating Transformer-Based Language Model on ReRAM-Based Architecture,https://doi.org/10.1109/TCAD.2021.3121264,https://doi.org/10.1109/TCAD.2021.3121264,False,False,True,,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,DEADBEEF
2021,IEEE/ACM,article,__no_data__,['BERT'],__no_data__,A Framework for Area-efficient Multi-task BERT Execution on ReRAM-based Accelerators,https://doi.org/10.1109/ICCAD51958.2021.9643471,https://doi.org/10.1109/ICCAD51958.2021.9643471,False,False,True,,IEEE/ACM International Conference On Computer Aided Design (ICCAD),DEADBEEF
2021,arXiv,article,__no_data__,['BERT'],__no_data__,A Full-Stack Search Technique for Domain Optimized Deep Learning Accelerators,https://doi.org/10.1145/3503222.3507767,https://doi.org/10.1145/3503222.3507767,False,False,True,,Computer Science > Machine Learning,DEADBEEF
2022,ACM/IEEE,article,__no_data__,['BERT'],__no_data__,A length adaptive algorithm-hardware co-design of transformer on FPGA through sparse attention and dynamic pipelining,https://doi.org/10.1145/3489517.3530585,https://doi.org/10.1145/3489517.3530585,False,False,True,,ACM/IEEE Design Automation Conference,DEADBEEF
2022,MDPI,article,__no_data__,['BERT'],__no_data__,A Lite Romanian BERT: ALR-BERT,https://doi.org/10.3390/computers11040057,https://doi.org/10.3390/computers11040057,False,check,False,,Computers,DEADBEEF
2020,IEEE,article,__no_data__,['BERT'],__no_data__,A Low-Cost Reconfigurable Nonlinear Core for Embedded DNN Applications,https://doi.org/10.1109/ICFPT51103.2020.00014,https://doi.org/10.1109/ICFPT51103.2020.00014,False,False,True,,International Conference on Field-Programmable Technology (ICFPT),DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,A Microcontroller is All You Need: Enabling Transformer Execution on Low-Power IoT Endnodes,https://doi.org/10.1109/COINS51742.2021.9524173,https://doi.org/10.1109/COINS51742.2021.9524173,False,False,True,,IEEE International Conference on Omni-Layer Intelligent Systems (COINS),DEADBEEF
2020,ACM/IEEE,article,__no_data__,['BERT'],__no_data__,A Multi-Neural Network Acceleration Architecture,https://doi.org/10.1109/ISCA45697.2020.00081,https://doi.org/10.1109/ISCA45697.2020.00081,False,check,True,,Annual International Symposium on Computer Architecture (ISCA),DEADBEEF
2019,IEEE,article,__no_data__,['BERT'],__no_data__,A Power Efficient Neural Network Implementation on Heterogeneous FPGA and GPU Devices,https://doi.org/10.1109/IRI.2019.00040,https://doi.org/10.1109/IRI.2019.00040,False,check,True,,International Conference on Information Reuse and Integration for Data Science (IRI),DEADBEEF
2020,MIt%20Press,article,__no_data__,['BERT'],__no_data__,A Primer in BERTology: What We Know About How BERT Works,https://doi.org/10.1162/tacl_a_00349,https://doi.org/10.1162/tacl_a_00349,False,check,check,,Transactions of the Association for Computational Linguistics,DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,A Quantitative Survey of Communication Optimizations in Distributed Deep Learning,https://doi.org/10.1109/MNET.011.2000530,https://doi.org/10.1109/MNET.011.2000530,False,check,check,,IEEE Network,DEADBEEF
2020,IEEE,article,__no_data__,['BERT'],__no_data__,A Reconfigurable DNN Training Accelerator on FPGA,https://doi.org/10.1109/SiPS50750.2020.9195234,https://doi.org/10.1109/SiPS50750.2020.9195234,False,check,check,,IEEE Workshop on Signal Processing Systems (SiPS),DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,A Resource-Saving Energy-Efficient Reconfigurable Hardware Accelerator for BERT-based Deep Neural Network Language Models using FFT Multiplication,https://doi.org/10.1109/ISCAS48785.2022.9937531,https://doi.org/10.1109/ISCAS48785.2022.9937531,False,False,True,,International Symposium on Circuits and Systems (ISCAS),DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,A Self-Attention Network for Deep JSCCM: The Design and FPGA Implementation,https://doi.org/10.1109/GLOBECOM48099.2022.10001518,https://doi.org/10.1109/GLOBECOM48099.2022.10001518,False,False,True,,IEEE Global Communications Conference,DEADBEEF
